stem,tp,fp,fn,n_gt,found,merges,splits,fp_inst,n_pred_inst,boundary_iou
vienna1_r0c3,159992,53275,64527,80,42,4,2,20,60,0.09994175173978356
vienna1_r0c4,128350,22807,116671,46,21,0,3,32,56,0.08785998801508689
vienna1_r1c0,77873,14494,110019,289,95,0,1,26,122,0.13870616005847322
vienna1_r1c1,70057,17929,118831,336,123,3,1,48,169,0.13006676204101097
vienna1_r1c2,89601,18586,106116,144,66,0,2,35,103,0.10408404226332839
vienna1_r1c3,194769,48180,98852,81,45,6,2,29,70,0.08039458989949125
vienna1_r1c4,210487,66030,121205,55,30,3,6,39,72,0.07696423576909513
vienna1_r2c0,35466,6756,86807,188,54,1,1,32,86,0.11504582787763362
vienna1_r2c1,59387,10424,125821,252,89,1,5,32,125,0.13323492646081012
vienna1_r2c2,68785,18580,93247,288,100,0,1,31,132,0.14351205899940203
vienna1_r2c3,37220,24673,65332,75,16,1,1,23,39,0.06801237660232798
vienna1_r2c4,153378,43920,105002,64,41,1,2,30,72,0.08989728436752498
vienna1_r3c0,110685,23443,79127,93,38,6,0,23,55,0.10774000664378253
vienna1_r3c1,145909,44784,89998,120,54,4,0,24,73,0.11205893757270259
vienna1_r3c2,12523,2052,26473,79,25,0,1,3,29,0.11628165878096298
vienna1_r3c3,28472,4381,53838,214,57,1,1,7,64,0.13154221912072575
vienna1_r3c4,66594,12103,73948,242,73,0,1,20,94,0.1427680365929725
vienna1_r4c0,86081,16590,115698,121,56,1,2,38,95,0.09847085306217496
vienna1_r4c1,140214,36946,179851,71,35,0,3,63,101,0.07600806919099404
vienna1_r4c2,126785,52218,137615,21,9,2,1,23,31,0.05981091056170686
vienna1_r4c3,48480,14180,51732,19,7,0,1,11,19,0.06104804150063905
vienna1_r4c4,46784,6399,61251,33,9,2,0,7,14,0.06379031490819141
vienna2_r0c0,166785,38331,167245,72,25,3,3,53,78,0.09484813931792267
vienna2_r0c1,63535,16578,133551,57,20,0,0,41,61,0.07674776593830591
vienna2_r0c2,86453,18733,59197,28,13,2,0,16,27,0.07361516034985423
vienna2_r0c3,130931,26191,42345,54,32,1,1,14,46,0.08232679269004535
vienna2_r0c4,119737,18951,71520,70,47,1,1,22,69,0.11272577843360666
vienna2_r1c0,245379,69008,153720,47,21,3,5,45,68,0.06973983771477496
vienna2_r1c1,198640,49726,86585,47,26,2,4,36,64,0.09010582149515532
vienna2_r1c2,50586,8478,29866,35,10,0,0,8,18,0.09313966041809794
vienna2_r1c3,91079,18359,40228,57,33,1,0,10,42,0.08815082699569218
vienna2_r1c4,148300,32751,80086,99,60,5,3,25,83,0.0891024241100677
vienna2_r2c0,166108,27444,211208,88,36,0,5,63,104,0.0809845861782567
vienna2_r2c1,211464,59463,185506,54,24,1,7,53,83,0.08033658016210882
vienna2_r2c2,102151,17190,106974,52,20,0,4,38,62,0.07524436538355737
vienna2_r2c3,84162,32115,92507,62,29,2,0,30,57,0.07603118022640919
vienna2_r2c4,115165,24521,93277,87,49,2,2,27,76,0.10366692493793583
vienna2_r3c0,189074,80249,74997,100,64,9,3,45,102,0.09130621275058697
vienna2_r3c1,135755,40879,121877,61,32,4,3,18,49,0.08076766973966487
vienna2_r3c2,349624,147468,91036,28,18,7,4,38,53,0.07386494380033631
vienna2_r3c3,385960,218298,46270,27,19,13,1,26,33,0.042570234614011215
vienna2_r3c4,327794,132213,109397,50,35,12,3,49,75,0.06237624626012927
vienna2_r4c0,35183,15145,108613,45,14,0,0,16,30,0.05372511239563263
vienna2_r4c1,93512,20645,215689,42,14,0,1,56,71,0.050736871724526046
vienna2_r4c2,248053,90054,218051,45,30,11,1,82,102,0.05626525171296819
vienna2_r4c3,420483,228062,46118,28,21,15,2,20,28,0.04398054644455575
vienna2_r4c4,359032,181832,65886,32,24,18,3,43,52,0.053154200088810784
vienna3_r0c0,208593,42554,49144,78,61,3,3,14,75,0.12294244522647292
vienna3_r0c1,265429,112232,70452,40,25,6,2,32,53,0.06575127862507488
vienna3_r0c2,272410,105143,71153,56,34,7,5,33,65,0.08305306227373022
vienna3_r0c3,138902,202839,113520,28,16,9,1,30,38,0.05100772207532963
vienna3_r0c4,108877,49311,114440,19,8,2,2,12,20,0.052855430537833974
vienna3_r1c0,132884,31734,74142,99,59,4,0,24,79,0.09172192385010051
vienna3_r1c1,183125,88763,66688,44,26,7,2,21,42,0.05527771700059388
vienna3_r1c2,315326,191153,68623,27,22,13,1,26,36,0.040561534651236096
vienna3_r1c3,341023,211181,94778,24,20,12,0,36,44,0.037152171221853894
vienna3_r1c4,134764,24708,141624,29,12,4,2,31,41,0.029879039537822713
vienna3_r2c0,184774,73197,101576,74,46,5,1,31,73,0.0884271270276168
vienna3_r2c1,209122,61635,50494,31,18,7,0,16,27,0.056017974774038706
vienna3_r2c2,212954,103434,152362,26,16,5,0,31,42,0.03734183860975482
vienna3_r2c3,491753,110815,223874,14,12,5,0,57,64,0.0275820549411345
vienna3_r2c4,263639,4214,212542,14,4,1,2,40,45,0.01700968523002421
vienna3_r3c0,343228,153180,114159,30,22,9,4,67,84,0.06376917823052192
vienna3_r3c1,359050,242027,23006,35,26,19,0,26,33,0.041405449477198354
vienna3_r3c2,468107,318672,36599,28,25,23,0,26,28,0.04012746370824973
vienna3_r3c3,485567,291565,47536,27,24,21,0,15,18,0.024221744808121656
vienna3_r3c4,411314,174707,92794,22,17,12,0,31,36,0.03444125871650561
vienna3_r4c0,419926,255763,81892,38,30,25,3,38,46,0.04176635506334838
vienna3_r4c1,394730,259162,45019,36,33,26,1,29,37,0.037919651436018914
vienna3_r4c2,469810,310478,53049,24,21,19,1,30,33,0.02855360965496317
vienna3_r4c3,411117,350435,26169,27,25,19,0,21,27,0.0267264556195994
vienna3_r4c4,385303,193421,84477,17,16,5,1,27,39,0.029488472371944224
vienna4_r0c0,243377,129775,43355,23,15,7,0,22,30,0.04232070468469017
